Strain,Stress(0.1),Stress(1),Stress(5)
0,0,0,0
0,3.85046,3.55163,1.95471
0.0002,13.73574,11.49023,3.52369
0.0004,15.52389,9.95171,7.31798
0.0009,15.48801,10.80877,5.55973
0.0014,16.83271,14.49646,11.70945
0.0019,18.3277,17.40629,17.14463
0.0024,18.71576,19.13564,17.80874
0.0049,18.89709,24.15507,20.91902
0.0074,18.84679,26.20783,23.87609
0.0099,18.6677,28.6677,26.10212
0.0124,18.7603,29.71516,28.25527
0.0149,18.75974,30.08163,29.72931
0.0174,18.78599,29.97889,30.61538
0.0199,18.64376,29.93223,31.74954
0.0224,18.80636,29.83952,32.25568
0.0249,18.95477,29.83406,32.46325
0.0499,18.9121,30.55543,33.24848
0.0749,19.14715,30.87969,33.81115
0.0999,19.3037,31.10807,34.58175
0.1249,19.47076,31.67095,35.04241
0.1499,19.72057,32.06174,35.37445
0.1749,20.18812,32.45552,35.68153
0.1999,20.51293,33.02071,36.18005
0.2249,20.65962,33.52304,36.81784
0.2499,20.95129,33.80892,37.26312
0.2749,21.35515,33.98358,37.66753
0.2999,21.59024,34.42654,38.06045
0.3249,21.78605,34.75244,38.50431
0.3499,22.2043,35.10072,38.99023
0.3749,22.24798,35.68548,39.42036
0.3999,22.54067,36.1487,39.7384
0.4249,22.94795,36.42683,40.0063
0.4499,23.05091,36.63724,40.29986
0.4749,23.21866,37.03408,40.6377
0.4999,23.49815,37.53764,41.03247
0.5249,23.62947,37.6203,41.4604
0.5499,24.09847,37.67507,41.90794
0.5749,24.09609,37.93598,42.25151
0.5999,24.63285,38.42838,42.65425
0.6249,24.79535,38.99825,43.14114
0.6499,24.69085,39.2976,43.68253
0.6749,24.81711,39.54938,44.06631
0.6999,25.13882,39.91089,44.33629
0.7249,25.25068,39.9968,44.59572
0.7499,25.56447,40.1609,44.81409
0.7749,25.47764,40.40466,44.98632
0.7999,25.07837,40.46433,45.1442
0.8249,25.02052,40.53315,45.38831
0.8499,24.7532,40.70866,45.68166
0.8749,24.97588,40.68845,45.83333
0.8999,24.8375,40.46463,45.71539
0.9249,24.24719,39.97251,44.99419
0.9499,23.89374,39.50923,42.18613
0.9749,19.17106,39.24038,48.13016
0.9999,20.9116,38.67545,47.94313
1.0249,23.15715,37.2132,47.25576
1.0499,,32.72347,45.51443
1.0749,,18.38475,42.27802
1.0999,,,19.81783
